bookId, bookName, authorId, isbn, price,priceCurrency
110, The Great Gatsby, 1, 0743273567, 11, USD
111, Tender Is the Night, 1, 1853260975, 9, USD
112, This Side of Paradise, 1, 0486289990, 5, USD
120, 1984, 2, 0451524934, 7, USD
121, Animal Farm, 2, 812911612X, 14, USD
130, The Catcher in the Rye, 3, 0316769487, 5, USD
140, Slaughterhouse-Five, 4, 0385333846, 10, USD
141, Cat's Cradle, 4, 038533348X, 10, USD
142, Breakfast of Champions, 4, 0385334206, 10, USD
143, The Sirens of Titan, 4, 0385333498, 9, USD
